Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,FVG_Size,FVG_Type_Encoded,OB_Type_Encoded,Recovery_Type_Encoded,Close_lag1,Close_lag2,Close_lag3
2000-12-13,-2.1792817159811357,-2.1765002355195895,-2.1790989248476524,-2.1754964378234196,-0.18845443644711996,-2.175627924653673,-2.1714783260311075,-2.1745672068447193,-2.175217882305968,-0.442566644422668,-0.169560743452976,-0.19296886775744895,0.028589742909291248,-2.1839991170039714,-2.175627924653673,-2.1615056138277375,-0.35497543436740187,0,2,2,-2.1749984350798264,-2.1754204576972,-2.1703345325437424
2000-12-14,-2.1782335748602852,-2.179104693170758,-2.1793628104411957,-2.179164970085851,-0.18841709268652063,-2.175089012211114,-2.1716156471868064,-2.1749691844356067,-2.1752294735494875,-0.3616543065171675,-0.18353110795472868,-0.19334286922989166,-0.012103654800599755,-2.1842158047526965,-2.175089012211114,-2.1601705125016593,-0.43822441768407394,2,2,2,-2.1794538873351073,-2.175158386234675,-2.1755781790144852
2000-12-15,-2.1745650409532873,-2.17545846835547,-2.176196344371831,-2.1775927191253786,-0.187222092347342,-2.1743923719391414,-2.171610365293932,-2.174743648839849,-2.1749671698240562,-0.08602913774666365,-0.18482396169448162,-0.19392061432981822,-0.01436348160421064,-2.1842475658838105,-2.1743923719391414,-2.1587067736064687,-0.3216738085948513,1,2,2,-2.178405550332864,-2.179614641063722,-2.1753160607003044
2000-12-18,-2.1763992679227657,-2.1765002355195895,-2.174876996930692,-2.1754964378234196,-0.18893990533491126,-2.1738797454625076,-2.171657899106187,-2.1748356401028848,-2.174860811207499,-0.2389781180542292,-0.19191227478107276,-0.19590997969936885,-0.030020498028293572,-2.1843951348109587,-2.1738797454625076,-2.1574985893850385,-0.43822441768407394,2,2,2,-2.174736330833519,-2.17856611522144,-2.1797731121934185
2000-12-19,-2.1763992679227657,-2.177281541022244,-2.1767241155589176,-2.176282523319653,-0.1819939658634355,-2.173353978008555,-2.1716367715346894,-2.1749134788639157,-2.1747623310069835,-0.2389781180542292,-0.1982129158830122,-0.19885893821838127,-0.04066384597735761,-2.184700383056429,-2.173353978008555,-2.1560970037804994,-0.10522848441738554,1,2,2,-2.1765709005916984,-2.174896234774756,-2.178724398901609
2000-12-20,-2.16906220010877,-2.1699890913916677,-2.168808030912083,-2.1689454587947905,-0.18938803046210326,-2.172539036850413,-2.1715100141647397,-2.173848001470232,-2.1741250729194963,0.301392364035773,-0.1828341931633168,-0.19790477607026355,0.0026277004147245145,-2.1841726283039544,-2.172539036850413,-2.154980931998394,0.11121683976008019,1,2,0,-2.1765709005916984,-2.176731134999401,-2.175053862374428
2000-12-21,-2.1659176967781764,-2.166863710417569,-2.166169336029805,-2.1676352629890645,-0.18546693559917338,-2.1714875019425075,-2.171441352780987,-2.172461576217734,-2.173300984569514,0.49827084303946956,-0.1626398762389523,-0.19279060289229116,0.04876855176148599,-2.183556219616899,-2.1714875019425075,-2.1534726982780183,-0.23842482527817915,1,2,0,-2.1692324615930088,-2.176731134999401,-2.176889090632171
2000-12-22,-2.1659176967781764,-2.1660824049149143,-2.1643222174015793,-2.165800956873846,-0.1890892803773086,-2.1705148289436655,-2.171272341879849,-2.171288447157928,-2.1725379398010123,0.4982708430394685,-0.14789882600514892,-0.18552332122513232,0.07264980063800014,-2.1830824456723676,-2.1705148289436655,-2.1519758257677366,-0.43822441768407394,2,2,0,-2.166087370603292,-2.1693913741060338,-2.176889090632171
2000-12-26,-2.164869555657326,-2.1639988705866755,-2.1656415648427183,-2.167111152679572,-0.1895747492650999,-2.169989061489712,-2.171393817356924,-2.170134181116221,-2.171753407329372,0.5675369387334447,-0.13459966577784202,-0.17684420638900478,0.08830917843971968,-2.1819060291752472,-2.169989061489712,-2.152138063721268,-0.35497543436740187,1,2,0,-2.166087370603292,-2.166245716581794,-2.1695480175778092
2000-12-27,-2.161987107598956,-2.162957023940816,-2.1622112937063878,-2.163704675571887,-0.18953740550450057,-2.169279272217846,-2.1712459324154763,-2.1687130346843064,-2.170812457681275,0.7537123704586667,-0.11733402451562497,-0.16618105102381475,0.11031520641907795,-2.1802778938504925,-2.169279272217846,-2.1523992679434367,-0.43822441768407394,2,2,0,-2.1650390336010488,-2.166245716581794,-2.166401797690685
2000-12-28,-2.1711584823504713,-2.1681659392431536,-2.1695996071661354,-2.167111152679572,-0.18953740550450057,-2.1685826279345863,-2.171235368629728,-2.168924708531227,-2.1706238018787833,-0.15126502183715035,-0.13164199078078753,-0.1607331623898221,0.05246996388223386,-2.1810228415683954,-2.1685826279345863,-2.1501827877866453,-0.02197950110071343,0,2,0,-2.16215604685764,-2.1651971907395122,-2.166401797690685
